image_file,mask_file,has_slick,slick_area_pixels,slick_area_km2,slick_center_row,slick_center_col,slick_radius,slick_elongation,slick_angle,slick_dampening
00000.png,00000.png,1,14542,1.4542,88,77,66,2.484557813299692,91.04793265990575,0.5023750186249984
00001.png,00001.png,1,11101,1.1101,35,43,57,2.482966612889346,165.25521401786682,0.6388066080449033
00002.png,00002.png,1,11458,1.1458,54,69,52,1.506033520477997,86.01209004434011,0.6924818345084504
00003.png,00003.png,1,7697,0.7697,90,58,43,1.5824196687375705,75.5115538972179,0.7604239067590663
00004.png,00004.png,1,16384,1.6384,57,65,97,2.387611532102743,126.82440169341551,0.4704527771958688
00005.png,00005.png,1,14852,1.4852,47,57,78,1.0367732763921578,147.21208817534253,0.5763560796348723
00006.png,00006.png,1,5639,0.5639,52,37,36,1.3864447573785577,73.47297278333592,0.7239258707189791
00007.png,00007.png,1,10994,1.0994,46,42,47,2.2685944436017413,64.29007640725384,0.8954519450891858
00008.png,00008.png,1,15446,1.5446,47,91,87,2.048576072050611,87.21728593271482,0.7706673472936334
00009.png,00009.png,1,15953,1.5953,42,48,81,1.8852849773434956,15.64178260991666,0.8941180782431373
00010.png,00010.png,1,12477,1.2477,46,91,77,1.0075579191927435,152.89546212549251,0.8383756208591477
00011.png,00011.png,1,14215,1.4215,91,89,75,1.6303586886764412,14.342140004266252,0.6410719238789583
00012.png,00012.png,1,8684,0.8684,38,87,52,1.3125305454824079,136.85585818560213,0.7359894329197847
00013.png,00013.png,1,16354,1.6354,45,77,95,1.8606845035077235,77.75489333042069,0.44929758107948914
00014.png,00014.png,1,8314,0.8314,34,93,53,1.3497675730705814,143.847037783537,0.429318177415768
00015.png,00015.png,1,16380,1.638,59,63,88,2.0358095377595733,24.761151913448064,0.867119117933132
00016.png,00016.png,1,6432,0.6432,46,82,35,1.8205414928589871,89.1760749866192,0.5026358602339172
00017.png,00017.png,1,12711,1.2711,64,46,51,2.438464596365391,42.43346823544839,0.49740535229109734
00018.png,00018.png,1,15042,1.5042,55,40,78,2.4739928491442713,128.10574135925233,0.438931851495324
00019.png,00019.png,1,13411,1.3411,78,92,66,1.9427747893228327,152.85383155262866,0.5021405610194456
00020.png,00020.png,1,13960,1.396,34,38,69,2.0530028893310748,77.8830603882474,0.8427010179547028
00021.png,00021.png,1,7855,0.7855,62,68,34,2.3133819267197366,159.23188689997386,0.41575652535016083
00022.png,00022.png,1,13966,1.3966,32,59,62,1.7723592489581368,95.17178336633546,0.785316003337508
00023.png,00023.png,1,12888,1.2888,51,84,60,1.6108867008280312,38.60807546497656,0.541495838958308
00024.png,00024.png,1,15696,1.5696,60,35,87,1.8535869791551673,64.72084069063146,0.48552819508806766
00025.png,00025.png,1,16219,1.6219,51,63,74,2.326219393026034,76.280605053221,0.8018484326500449
00026.png,00026.png,1,7732,0.7732,51,36,44,1.3948300660198822,113.06802938395889,0.44293567397328937
00027.png,00027.png,1,14045,1.4045,73,92,61,2.4629303580776902,172.7698649564926,0.5032224487920482
00028.png,00028.png,1,16327,1.6327,72,67,88,1.0876619139336219,31.866112765322047,0.8659304455173126
00029.png,00029.png,1,13852,1.3852,58,78,60,1.551431086505176,23.948215646092656,0.8279199362274182
